f500_rank,org,sector,industry,employees,website
343,Thrivent Financial for Lutherans,Financials,"Insurance: Life, Health (Mutual)",3622,www.thrivent.com
344,DCP Midstream,Energy,Pipelines,2650,www.dcpmidstream.com
345,Air Products & Chemicals,Chemicals,Chemicals,15150,www.airproducts.com
346,Veritiv,Wholesalers,Wholesalers: Diversified,8900,www.veritivcorp.com
347,AGCO,Industrials,Construction and Farm Machinery,20462,www.agcocorp.com
348,Genworth Financial,Financials,"Insurance: Life, Health (stock)",3500,www.genworth.com
349,Univar,Wholesalers,Wholesalers: Diversified,8600,www.univar.com
350,News Corp.,Media,"Publishing, Printing",26e3,www.newscorp.com
351,SpartanNash,Wholesalers,Wholesalers: Food and Grocery,11950,www.spartannash.com
352,Westlake Chemical,Chemicals,Chemicals,8799,www.westlake.com
353,Williams,Energy,Energy,5425,www.williams.com
354,Lam Research,Technology,Semiconductors and Other Electronic Components,9400,www.lamresearch.com
355,Alaska Air Group,Transportation,Airlines,23156,www.alaskaair.com
356,Jones Lang LaSalle,Financials,Real estate,81900,www.jll.com
357,Anixter International,Wholesalers,Wholesalers: Electronics and Office Equipment,8900,www.anixter.com
358,Campbell Soup,"Food, Beverages & Tobacco",Food Consumer Products,18e3,www.campbellsoupcompany.com
359,Interpublic Group,Business Services,"Advertising, marketing",50200,www.interpublic.com
360,Dover,Industrials,Industrial Machinery,29e3,www.dovercorporation.com
361,Zimmer Biomet Holdings,Health Care,Medical Products and Equipment,18200,www.zimmerbiomet.com
362,Dean Foods,"Food, Beverages & Tobacco",Food Consumer Products,16e3,www.deanfoods.com
363,Foot Locker,Retailing,Specialty Retailers: Apparel,32175,www.footlocker-inc.com
364,Eversource Energy,Energy,Utilities: Gas and Electric,8084,www.eversource.com
365,Alliance Data Systems,Business Services,Financial Data Services,2e4,www.alliancedata.com
366,Fifth Third Bancorp,Financials,Commercial Banks,18125,www.53.com
367,Quest Diagnostics,Health Care,Health Care: Pharmacy and Other Services,45e3,www.questdiagnostics.com
368,EMCOR Group,Engineering & Construction,"Engineering, Construction",32e3,www.emcorgroup.com
369,W.R. Berkley,Financials,Insurance: Property and Casualty (Stock),7722,www.wrberkley.com
370,WESCO International,Wholesalers,Wholesalers: Diversified,9100,www.wesco.com
371,Coty,Household Products,Household and Personal Products,22e3,www.coty.com
372,WEC Energy Group,Energy,Utilities: Gas and Electric,8129,www.wecenergygroup.com
373,Masco,Household Products,"Home Equipment, Furnishings",26e3,www.masco.com
374,DXC Technology,Technology,Information Technology Services,6e4,www.dxc.technology
375,Auto-Owners Insurance,Financials,Insurance: Property and Casualty (Mutual),5227,www.auto-owners.com
376,Jones Financial (Edward Jones),Financials,Securities,45e3,www.edwardjones.com
377,Liberty Media,Media,Entertainment,4393,www.libertymedia.com
378,Erie Insurance Group,Financials,Insurance: Property and Casualty (Mutual),5260,www.erieinsurance.com
379,Hershey,"Food, Beverages & Tobacco",Food Consumer Products,16135,www.thehersheycompany.com
380,PPL,Energy,Utilities: Gas and Electric,12512,www.pplweb.com
381,Huntington Ingalls Industries,Aerospace & Defense,Aerospace and Defense,38e3,www.huntingtoningalls.com
382,Mosaic,Chemicals,Chemicals,8500,www.mosaicco.com
383,J.M. Smucker,"Food, Beverages & Tobacco",Food Consumer Products,7140,www.jmsmucker.com
384,Delek US Holdings,Energy,Petroleum Refining,3941,www.delekus.com
385,Newmont Mining,Energy,"Mining, Crude-Oil Production",12569,www.newmont.com
386,Constellation Brands,"Food, Beverages & Tobacco",Beverages,8700,www.cbrands.com
387,Ryder System,Transportation,"Trucking, Truck Leasing",36100,www.ryder.com
388,National Oilwell Varco,Energy,"Oil and Gas Equipment, Services",31605,www.nov.com
389,Adobe Systems,Technology,Computer Software,17973,www.adobe.com
390,LifePoint Health,Health Care,Health Care: Medical Facilities,42e3,www.lifepointhealth.net
391,Tractor Supply,Retailing,Specialty Retailers: Other,21e3,www.tractorsupply.com
392,Thor Industries,Motor Vehicles & Parts,Motor Vehicles and Parts,17800,www.thorindustries.com
393,Dana,Motor Vehicles & Parts,Motor Vehicles and Parts,30100,www.dana.com
394,Weyerhaeuser,Materials,Forest and Paper Products,9300,www.weyerhaeuser.com
395,J.B. Hunt Transport Services,Transportation,"Trucking, Truck Leasing",24681,www.jbhunt.com
396,Darden Restaurants,"Hotels, Restaurants & Leisure",Food Services,178729,www.darden.com
397,Yum China Holdings,"Hotels, Restaurants & Leisure",Food Services,45e4,ir.yumchina.com
398,Blackstone Group,Financials,Diversified Financials,2360,www.blackstone.com
399,Berry Global Group,Materials,"Packaging, Containers",23e3,www.berryglobal.com
400,Builders FirstSource,Materials,"Building Materials, Glass",15e3,www.bldr.com
401,Activision Blizzard,Technology,Entertainment,9800,www.activisionblizzard.com
402,JetBlue Airways,Transportation,Airlines,17424,www.jetblue.com
403,Amphenol,Technology,Network and Other Communications Equipment,7e4,www.amphenol.com
404,A-Mark Precious Metals,Materials,Miscellaneous,126,www.amark.com
405,Spirit AeroSystems Holdings,Aerospace & Defense,Aerospace and Defense,15500,www.spiritaero.com
406,R.R. Donnelley & Sons,Media,"Publishing, Printing",42700,www.rrdonnelley.com
407,Harris,Aerospace & Defense,Aerospace and Defense,17e3,www.harris.com
408,Expeditors Intl. of Washington,Transportation,Transportation and Logistics,16500,www.expeditors.com
409,Discovery,Media,Entertainment,7e3,www.discovery.com
410,Owens-Illinois,Materials,"Packaging, Containers",26500,www.o-i.com
411,Sanmina,Technology,Semiconductors and Other Electronic Components,41250,www.sanmina.com
412,KeyCorp,Financials,Commercial Banks,18415,www.key.com
413,American Financial Group,Financials,Insurance: Property and Casualty (Stock),7600,www.afginc.com
414,Oshkosh,Industrials,Construction and Farm Machinery,14e3,www.oshkoshcorporation.com
415,Rockwell Collins,Aerospace & Defense,Aerospace and Defense,29e3,www.rockwellcollins.com
416,Kindred Healthcare,Health Care,Health Care: Medical Facilities,64200,www.kindredhealthcare.com
417,Insight Enterprises,Technology,Information Technology Services,6697,www.insight.com
418,Dr Pepper Snapple Group,"Food, Beverages & Tobacco",Beverages,21e3,www.drpeppersnapplegroup.com
419,American Tower,Financials,Real estate,4752,www.americantower.com
420,Fortive,Industrials,Industrial Machinery,26e3,www.fortive.com
421,Ralph Lauren,Apparel,Apparel,18250,www.ralphlauren.com
422,HRG Group,Household Products,Household and Personal Products,17113,www.hrggroup.com
423,Ascena Retail Group,Retailing,Specialty Retailers: Apparel,4e4,www.ascenaretail.com
